AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
EMIRATES AIRLINE;FOREIGN;226543;245332;6306609;13489185;28/10/2015
ETHIOPIAN AIRLINES;FOREIGN;3408;4229;298416;155181;02/03/2015
ETIHAD AIRLINES;FOREIGN;77154;89352;1086446;2205328;23/11/2014
EVA AIRWAYS;FOREIGN;0;0;0;0;26/07/2012
FEDERAL EXPRESS;FOREIGN;0;0;1436805;2127354;03/09/2014
FINN AIR;FOREIGN;1830;3250;167504;213741;15/12/2014
FLY DUBAI;FOREIGN;17849;18746;21413;296025;04/12/2016
GULF AIR;FOREIGN;37124;37152;331192;600421;04/07/2012
IRAN AIR;FOREIGN;1933;2298;588;53384;23/05/2017
IRAQI AIRWAYS;FOREIGN;0;303;0;0;31/03/2014
ISLAND AVIATION SERVICES;FOREIGN;3383;3247;4874;76123;09/09/2011
JAPAN AIRLINES;FOREIGN;3152;4255;394921;272461;07/12/2014
KALITTA AIR;FOREIGN;0;0;874001;866969;06/08/2017
KAM AIR;FOREIGN;3000;3500;0;66679;27/09/2013
KENYA AIRWAYS;FOREIGN;7770;9584;18258;210626;15/03/2013
KLM AIRLINES;FOREIGN;5867;6943;180853;44553;22/02/2018
KOREAN AIR;FOREIGN;1640;2439;58393;10898;19/01/2017
KUWAIT AIRWAYS;FOREIGN;24617;26583;303207;110622;23/07/2014
LUFTHANSA;FOREIGN;46693;55943;3469438;2774521;16/11/2013
MAHAN AIR;FOREIGN;1092;1365;7402;1076;30/12/2012
MALAYSIA AIRLINES;FOREIGN;45229;45374;12902;139797;14/01/2017
MALINDO AIRWAYS;FOREIGN;22064;20920;0;0;30/03/2012
MIHIN LANKA;FOREIGN;4017;3896;0;0;10/03/2012
MYANMAR AIRLINES;FOREIGN;0;0;0;0;26/08/2012
NEPAL AIRLINES CORPORATION;FOREIGN;1949;1609;0;0;17/07/2016
OMAN AIR;FOREIGN;57679;62855;8999;924765;10/09/2017
PAK INTERNATIONAL;FOREIGN;915;2327;5139;34646;18/05/2016
QATAR AIRWATYS;FOREIGN;82310;86492;3805287;6490686;20/04/2017
REGENT AIRWAYS;FOREIGN;3400;3524;0;0;07/12/2014
SAFI AIRWAYS;FOREIGN;1645;1992;4897;20419;24/02/2016
SAUDIA;FOREIGN;52440;63352;199824;2961802;05/03/2010
SILK AIR;FOREIGN;20195;20866;55993;241526;07/12/2017
SINGAPORE AIRLINES;FOREIGN;47021;53670;2733951;295767;12/04/2010
SRILNKAN AIRWAYS;FOREIGN;65596;64455;506014;1439411;17/10/2010
SWISS AIR;FOREIGN;10656;14061;711331;927698;23/11/2010
TAJIK AIR;FOREIGN;331;271;0;6895;07/10/2017
THAI AIRWAYS;FOREIGN;54876;61864;2199145;1561707;24/10/2010
TIGER AIRWAYS;FOREIGN;30594;28642;82375;332273;06/12/2012
TRANSAERO AIRLINES;FOREIGN;1004;2892;191;59724;18/04/2013
TURKISH AIRLINES;FOREIGN;14827;18594;699414;1119864;11/02/2011
TURKMENISTAN AIRLINES;FOREIGN;1701;2748;0;10367;16/06/2016
UNITED AIRLINES;FOREIGN;14534;15727;301462;365532;04/04/2014
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;876;931;0;0;18/06/2015
UNITED PARCEL SERVICES;FOREIGN;0;0;528597;511363;19/07/2015
UZBEKISTAN AIRWAYS;FOREIGN;3954;3839;250391;582624;28/02/2015
VIRGIN ATLANTIC AIRLINES;FOREIGN;3494;6743;214489;397101;22/03/2013
YEMENIA AIRWAYS;FOREIGN;0;246;0;0;17/05/2015
AIR INDIA;DOMESTIC;237722;221364;3632916;5106215;19/08/2010
AIR INDIA EXPRESS;DOMESTIC;112489;102613;0;0;14/08/2011
INDIGO;DOMESTIC;74143;64839;881895;94727757;25/12/2013
JET AIRWAYS;DOMESTIC;295413;270825;380009203;62883928;04/01/2013
SPICEJET;DOMESTIC;43637;42596;0;263843;12/12/2012
AEROFLOT;FOREIGN;5765;6012;15176;293703;23/08/2011
AEROLOGIC;FOREIGN;0;0;0;0;14/12/2014
AIR ARABIA;FOREIGN;75902;69726;109921;1126566;05/01/2010
AIR ASIA BERHAD;FOREIGN;25188;23805;21912;30439;09/09/2012
AIR AUSTRAL;FOREIGN;125;69;2485;0;27/08/2014
AIR CHINA;FOREIGN;2754;1991;130279;99191;17/07/2012
AIR FRANCE;FOREIGN;15498;16235;612293;1208125;25/06/2016
AIR MANAS;FOREIGN;1291;613;5;38603;06/10/2016
AIR MAURITIUS;FOREIGN;7932;7653;37631;268018;02/08/2010
AIR ASTANA;FOREIGN;2129;1703;953;19983;20/07/2016
AIR SEYCHELLES;FOREIGN;1660;1299;1182;6507;18/01/2011
ALL NIPPON AIRWAYS;FOREIGN;651;5900;351637;393629;19/09/2012
ARIANA AFGHAN;FOREIGN;1416;1769;1108;25767;04/04/2010
ASIANA AIRLINES;FOREIGN;2032;2257;37814;85261;25/11/2017
AUSTRIAN AIRLINES;FOREIGN;5503;5402;18508;226971;28/07/2014
BANGKOK AIRWAYS;FOREIGN;3968;3748;5033;38637;29/11/2011
BHUTAN AIRLINES;FOREIGN;1554;1366;0;0;05/04/2017
BIMAN BANGLADESH;FOREIGN;2952;7909;46;1735;26/06/2015
BRITISH AIRWAYS;FOREIGN;44104;44580;1475;3107;25/02/2014
BUDHHA AIR;FOREIGN;0;0;0;0;23/11/2012
CATHAY PACIFIC;FOREIGN;32052;29030;672378;3603328;11/02/2016
CHINA AIRLINES LTD;FOREIGN;904;4991;59316;78253;01/06/2013
CHINA EASTERN AIRLINES;FOREIGN;7442;7329;276767;188906;27/10/2017
CHINA SOUTHERN ;FOREIGN;5200;5671;58879;38806;18/12/2010
DRAGON AIR;FOREIGN;7302;6176;255707;338574;07/06/2016
DRUK AIR;FOREIGN;3648;3548;156;5255;07/06/2010
EGYPT AIR;FOREIGN;1496;1309;17813;12506;27/07/2015
EL-AL-ISRAEL;FOREIGN;1765;2293;71375;99591;01/03/2010
EMIRATES AIRLINE;FOREIGN;239086;198873;5980437;13827406;15/11/2014
ETHIOPIAN AIRLINES;FOREIGN;0;0;270357;181052;27/04/2012
ETIHAD AIRLINES;FOREIGN;98918;85366;1195554;2313592;21/05/2010
EVA AIRWAYS;FOREIGN;0;0;0;0;03/09/2012
FEDERAL EXPRESS;FOREIGN;0;0;1274656;213984;13/12/2013
FINN AIR;FOREIGN;2802;2957;149664;192579;12/11/2012
FLY DUBAI;FOREIGN;19703;17804;13355;285691;28/06/2012
GULF AIR;FOREIGN;37508;31030;95262;728488;22/05/2011
IRAN AIR;FOREIGN;1815;619;746;31545;05/04/2014
IRAQI AIRWAYS;FOREIGN;0;237;0;0;07/08/2010
ISLAND AVIATION SERVICES;FOREIGN;2865;3342;8287;77337;12/05/2015
JAPAN AIRLINES;FOREIGN;3774;4153;34326;183341;23/11/2016
KALITTA AIR;FOREIGN;0;0;587329;801445;07/03/2012
KAM AIR;FOREIGN;2500;2500;0;28495;15/11/2015
KENYA AIRWAYS;FOREIGN;5472;7865;13509;227211;08/04/2010
KLM AIRLINES;FOREIGN;6658;6951;23676;451064;20/09/2015
KOREAN AIR;FOREIGN;2079;2019;65055;124068;04/03/2017
KUWAIT AIRWAYS;FOREIGN;21832;20575;167247;99918;17/01/2016
LUFTHANSA;FOREIGN;43649;43888;3586136;3357845;04/07/2016
MAHAN AIR;FOREIGN;1540;70;6386;96315;26/05/2010
MALAYSIA AIRLINES;FOREIGN;40223;37781;1416388;1401453;13/04/2011
MALINDO AIRWAYS;FOREIGN;19927;18410;0;0;05/03/2011
MIHIN LANKA;FOREIGN;3507;3185;0;0;08/08/2017
MYANMAR AIRLINES;FOREIGN;0;0;0;0;15/11/2016
NEPAL AIRLINES CORPORATION;FOREIGN;2935;2863;0;0;26/03/2014
OMAN AIR;FOREIGN;58759;52806;130851;765947;23/12/2011
PAK INTERNATIONAL;FOREIGN;1190;2119;5314;34211;08/08/2014
QATAR AIRWATYS;FOREIGN;84429;74042;348787;6394161;09/08/2015
REGENT AIRWAYS;FOREIGN;3416;3652;0;0;06/07/2015
SAFI AIRWAYS;FOREIGN;1650;1869;3302;22828;19/04/2016
SAUDIA;FOREIGN;61253;55267;113214;2833576;18/07/2013
SILK AIR;FOREIGN;18891;17998;67018;274156;23/11/2010
SINGAPORE AIRLINES;FOREIGN;58090;54308;2600824;3000091;13/02/2016
SRILNKAN AIRWAYS;FOREIGN;59737;50654;550462;1550032;09/09/2011
SWISS AIR;FOREIGN;13179;13498;767884;898036;03/01/2013
TAJIK AIR;FOREIGN;257;110;0;1074;10/09/2012
THAI AIRWAYS;FOREIGN;56708;57555;2009059;1466668;26/07/2017
TIGER AIRWAYS;FOREIGN;28109;26516;82565;289035;12/01/2014
TRANSAERO AIRLINES;FOREIGN;1848;1251;161;79015;25/09/2012
TURKISH AIRLINES;FOREIGN;17599;16853;863254;974607;29/09/2012
TURKMENISTAN AIRLINES;FOREIGN;1470;1820;0;4991;23/01/2015
UNITED AIRLINES;FOREIGN;7025;6770;139402;78022;06/10/2017
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;640;1629;0;0;10/07/2015
UNITED PARCEL SERVICES;FOREIGN;0;0;516449;48315;04/06/2014
UZBEKISTAN AIRWAYS;FOREIGN;5015;4516;425151;768912;13/04/2015
VIRGIN ATLANTIC AIRLINES;FOREIGN;5265;6069;244884;370702;28/09/2015
YEMENIA AIRWAYS;FOREIGN;0;72;0;0;04/02/2015
AIR INDIA;DOMESTIC;257942;203884;3919597;4567417;21/04/2014
AIR INDIA EXPRESS;DOMESTIC;122785;96440;18538;335351;13/11/2010
INDIGO;DOMESTIC;77118;59568;46526;98669499;14/01/2017
JET AIRWAYS;DOMESTIC;314157;252636;389810454;592786303;07/09/2014
SPICEJET;DOMESTIC;46181;40404;0;2618575;01/04/2015
AEROFLOT;FOREIGN;6163;4650;18981;271583;08/02/2012
AEROLOGIC;FOREIGN;0;0;2006;1813;11/01/2011
AIR ARABIA;FOREIGN;80227;64608;47113;1182842;31/10/2014
AIR ASIA BERHAD;FOREIGN;23602;23178;22971;345281;09/01/2017
AIR ASTANA;FOREIGN;2559;1457;1705;30408;06/09/2013
AIR AUSTRAL;FOREIGN;271;225;2323;1458;03/06/2014
AIR CHINA;FOREIGN;2546;2427;98136;127537;24/01/2014
AIR FRANCE;FOREIGN;16003;16753;605886;1156136;04/03/2016
AIR MANAS;FOREIGN;954;417;0;21669;12/10/2012
AIR MAURITIUS;FOREIGN;6990;5482;67471;203448;11/02/2010
AIR SEYCHELLES;FOREIGN;1877;1583;7;275;29/07/2010
ALL NIPPON AIRWAYS;FOREIGN;428;467;0;0;15/03/2015
ARIANA AFGHAN;FOREIGN;1577;1684;0;349;15/01/2016
ASIANA AIRLINES;FOREIGN;2985;2460;73292;101;10/05/2010
AUSTRIAN AIRLINES;FOREIGN;5818;4828;197452;264537;31/10/2011
BANGKOK AIRWAYS;FOREIGN;3664;3724;6014;4896;17/05/2010
BHUTAN AIRLINES;FOREIGN;1343;1306;0;0;04/05/2015
BIMAN BANGLADESH;FOREIGN;3509;3008;16;1778;13/07/2013
BRITISH AIRWAYS;FOREIGN;46742;41056;1548;2986;19/11/2011
BUDHHA AIR;FOREIGN;0;0;0;0;22/01/2014
CATHAY PACIFIC;FOREIGN;32236;27323;6243813;4022005;01/02/2010
CHINA AIRLINES LTD;FOREIGN;919;4699;119788;9186;07/04/2013
CHINA EASTERN AIRLINES;FOREIGN;6565;5304;17386;188995;16/05/2016
CHINA SOUTHERN ;FOREIGN;6250;4764;51432;47552;06/04/2014
DRAGON AIR;FOREIGN;7251;6152;297259;3172;11/07/2012
DRUK AIR;FOREIGN;2765;2519;245;4147;22/08/2011
EGYPT AIR;FOREIGN;977;1056;965;8715;12/05/2014
EL-AL-ISRAEL;FOREIGN;2629;2015;62697;118732;25/02/2013
EMIRATES AIRLINE;FOREIGN;252167;186638;5274534;13023982;25/06/2012
ETHIOPIAN AIRLINES;FOREIGN;10838;9841;273437;1587975;30/01/2016
ETIHAD AIRLINES;FOREIGN;105986;80835;1275207;2299812;16/05/2015
EVA AIRWAYS;FOREIGN;0;0;0;0;23/04/2015
FEDERAL EXPRESS;FOREIGN;0;0;1247853;2079546;27/01/2018
FINN AIR;FOREIGN;3285;2453;151028;213461;23/07/2017
FLY DUBAI;FOREIGN;21441;17399;1255;283289;20/04/2013
GULF AIR;FOREIGN;32240;24962;39706;656373;07/11/2010
IRAN AIR;FOREIGN;846;860;393;24027;27/09/2017
IRAQI AIRWAYS;FOREIGN;0;220;0;0;03/09/2015
ISLAND AVIATION SERVICES;FOREIGN;2968;2342;12184;79555;03/06/2011
JAPAN AIRLINES;FOREIGN;3792;3852;436312;158261;01/06/2010
KALITTA AIR;FOREIGN;0;0;1269734;1073814;31/10/2017
KAM AIR;FOREIGN;2400;1000;0;40101;24/06/2016
KENYA AIRWAYS;FOREIGN;8789;7339;12654;250841;03/01/2015
KLM AIRLINES;FOREIGN;6907;7198;250111;427455;24/06/2012
KOREAN AIR;FOREIGN;2141;1926;54165;85696;18/01/2011
KUWAIT AIRWAYS;FOREIGN;25254;18255;11698;100238;08/09/2016
LUFTHANSA;FOREIGN;57321;56267;3545982;290368;13/03/2018
MAHAN AIR;FOREIGN;763;761;10268;73071;17/02/2010
MALAYSIA AIRLINES;FOREIGN;36690;36283;1465038;1401783;05/11/2011
MALINDO AIRWAYS;FOREIGN;18059;17747;0;29559;05/02/2014
MIHIN LANKA;FOREIGN;4945;4387;1079;133;14/01/2014
MYANMAR AIRLINES;FOREIGN;0;0;0;0;05/02/2018
NEPAL AIRLINES CORPORATION;FOREIGN;4158;3955;0;0;27/04/2014
OMAN AIR;FOREIGN;59051;51524;175856;760504;10/10/2015
PAK INTERNATIONAL;FOREIGN;985;1392;8989;29842;03/11/2016
QATAR AIRWATYS;FOREIGN;88549;67697;3699347;6354446;21/09/2014
REGENT AIRWAYS;FOREIGN;4943;4696;0;0;19/03/2015
SAFI AIRWAYS;FOREIGN;2521;2373;16406;33324;07/11/2014
SAUDIA;FOREIGN;67910;42597;62416;2527164;02/05/2012
SILK AIR;FOREIGN;17160;17648;73929;22363;04/03/2018
SINGAPORE AIRLINES;FOREIGN;47150;46905;3349931;2909327;07/05/2015
SRILNKAN AIRWAYS;FOREIGN;54450;46938;802985;1710868;14/07/2016
SWISS AIR;FOREIGN;13216;12854;901577;895985;19/04/2013
TAJIK AIR;FOREIGN;218;185;0;284;27/01/2016
THAI AIR ASIA;FOREIGN;3031;2861;27723;34291;05/07/2017
THAI AIRWAYS;FOREIGN;53395;54894;2329661;1371283;27/05/2012
TIGER AIRWAYS;FOREIGN;27392;26305;9608;308254;09/10/2014
TRANSAERO AIRLINES;FOREIGN;2435;1230;2496;91412;07/02/2010
TURKISH AIRLINES;FOREIGN;17592;15871;90502;1010348;08/02/2013
TURKMENISTAN AIRLINES;FOREIGN;4056;1594;62;18005;29/11/2011
UNITED AIRLINES;FOREIGN;14723;15149;247663;347463;12/10/2015
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;504;646;0;0;16/06/2010
UNITED PARCEL SERVICES;FOREIGN;0;0;547395;47389;15/05/2017
UZBEKISTAN AIRWAYS;FOREIGN;5383;3300;260736;718698;13/05/2015
VIRGIN ATLANTIC AIRLINES;FOREIGN;7507;5894;287556;46226;18/06/2013
YEMENIA AIRWAYS;FOREIGN;0;298;0;0;08/06/2010
AIR INDIA;DOMESTIC;217740;274220;3510166;4460054;01/07/2010
AIR INDIA EXPRESS;DOMESTIC;104937;129962;14233;471962;06/08/2012
INDIGO;DOMESTIC;57990;76653;802795;97123829;14/08/2012
JET AIRWAYS;DOMESTIC;280364;325454;425229073;59163616;23/08/2017
SPICEJET;DOMESTIC;38760;50297;1575679;21447231;23/03/2010
AEROFLOT;FOREIGN;4989;6866;8183;225616;13/09/2010
AEROLOGIC;FOREIGN;0;0;1992;2031;30/12/2017
AIR ARABIA;FOREIGN;64930;80236;108834;1145169;12/11/2014
AIR ASIA BERHAD;FOREIGN;17944;17842;21732;288026;03/08/2014
AIR ASTANA;FOREIGN;3208;2429;1037;37996;30/01/2015
AIR AUSTRAL;FOREIGN;179;273;5087;486;23/03/2012
AIR CHINA;FOREIGN;1562;2284;66196;72002;03/03/2017
AIR FRANCE;FOREIGN;14136;18075;630167;1114526;23/11/2012
AIR MANAS;FOREIGN;633;1032;0;2329;02/02/2013
AIR MAURITIUS;FOREIGN;5185;6114;9904;211413;03/04/2014
AIR SEYCHELLES;FOREIGN;1896;1802;216;4011;25/12/2012
ALL NIPPON AIRWAYS;FOREIGN;5393;6037;371918;378718;29/02/2016
ARIANA AFGHAN;FOREIGN;1753;1448;0;4001;19/11/2010
ASIANA AIRLINES;FOREIGN;2358;3154;56263;86574;04/10/2015
AUSTRIAN AIRLINES;FOREIGN;5122;6572;171533;252985;03/01/2012
BANGKOK AIRWAYS;FOREIGN;3510;3510;1256;67617;25/10/2014
BHUTAN AIRLINES;FOREIGN;1737;1749;0;0;21/05/2012
BIMAN BANGLADESH;FOREIGN;2902;3297;24;167;20/11/2013
BRITISH AIRWAYS;FOREIGN;35159;49114;1639;2891;16/03/2012
BUDHHA AIR;FOREIGN;0;0;0;0;16/03/2016
CATHAY PACIFIC;FOREIGN;28236;33758;14916471;3725095;15/08/2012
CHINA AIRLINES LTD;FOREIGN;946;4925;7526;82321;21/03/2013
CHINA EASTERN AIRLINES;FOREIGN;5960;6746;171707;150197;15/04/2012
CHINA SOUTHERN ;FOREIGN;5384;6149;51428;48507;28/02/2010
DRAGON AIR;FOREIGN;0;0;0;0;28/11/2014
DRUK AIR;FOREIGN;878;891;25;1219;02/09/2015
EGYPT AIR;FOREIGN;1499;1676;835;4293;23/11/2015
EL-AL-ISRAEL;FOREIGN;2341;2945;6009;115817;23/05/2016
EMIRATES AIRLINE;FOREIGN;172429;259564;5714753;1287879;04/09/2010
ETHIOPIAN AIRLINES;FOREIGN;3563;3790;352881;488637;24/11/2017
ETIHAD AIRLINES;FOREIGN;83785;115340;1709754;2306942;14/11/2017
EVA AIRWAYS;FOREIGN;0;0;0;0;14/03/2012
FEDERAL EXPRESS;FOREIGN;0;0;1163166;1932768;27/01/2018
FINN AIR;FOREIGN;2641;3391;137675;190845;10/12/2013
FLY DUBAI;FOREIGN;16912;20865;23806;258368;26/02/2014
GULF AIR;FOREIGN;29769;39695;78653;703257;08/10/2013
IRAN AIR;FOREIGN;1206;1582;1249;38858;19/03/2015
IRAQI AIRWAYS;FOREIGN;1524;946;0;0;01/07/2011
ISLAND AVIATION SERVICES;FOREIGN;3751;3422;959;80682;31/10/2011
JAPAN AIRLINES;FOREIGN;3625;4116;384444;189768;06/06/2017
KALITTA AIR;FOREIGN;0;0;1083337;86275;20/12/2013
KAM AIR;FOREIGN;2500;1500;0;5543;15/02/2018
KENYA AIRWAYS;FOREIGN;9423;7706;270002;4856;13/07/2011
KLM AIRLINES;FOREIGN;3661;3852;233414;430478;02/04/2016
KOREAN AIR;FOREIGN;1806;2383;34176;77243;16/02/2010
KUWAIT AIRWAYS;FOREIGN;18153;25139;87912;942943;12/10/2015
LUFTHANSA;FOREIGN;49750;59287;3135365;2438119;13/11/2013
MAHAN AIR;FOREIGN;937;1107;571;73741;31/12/2015
MALAYSIA AIRLINES;FOREIGN;33870;34686;1306366;1305836;18/10/2015
MALINDO AIRWAYS;FOREIGN;20585;18464;1594;61629;04/09/2016
MIHIN LANKA;FOREIGN;6810;6094;216;48;16/12/2012
MYANMAR AIRLINES;FOREIGN;0;0;0;0;15/10/2016
NEPAL AIRLINES CORPORATION;FOREIGN;3873;3441;0;0;13/04/2015
OMAN AIR;FOREIGN;45885;65686;187981;824609;22/04/2013
PAK INTERNATIONAL;FOREIGN;875;2750;5651;32168;15/06/2015
QATAR AIRWATYS;FOREIGN;77064;92188;4248669;6640071;07/03/2010
REGENT AIRWAYS;FOREIGN;5064;5920;0;0;06/07/2011
SAFI AIRWAYS;FOREIGN;2476;2113;5514;33015;09/09/2012
SAUDIA;FOREIGN;36147;68686;116496;2084897;08/01/2016
SILK AIR;FOREIGN;16909;20678;98522;212425;16/08/2014
SINGAPORE AIRLINES;FOREIGN;42407;45296;3413233;2951787;16/11/2016
SRILNKAN AIRWAYS;FOREIGN;57895;60031;607284;1452941;01/02/2017
SWISS AIR;FOREIGN;10716;13020;794083;897187;10/07/2012
TAJIK AIR;FOREIGN;167;192;0;1494;21/01/2016
THAI AIR ASIA;FOREIGN;2971;3045;29632;23138;15/12/2012
THAI AIRWAYS;FOREIGN;50933;56106;2350187;1393095;25/02/2016
TIGER AIRWAYS;FOREIGN;29271;27456;88005;331412;23/04/2011
TRANSAERO AIRLINES;FOREIGN;1842;2454;0;82564;11/09/2012
TURKISH AIRLINES;FOREIGN;17043;18911;773244;1101151;23/01/2010
TURKMENISTAN AIRLINES;FOREIGN;3747;4990;62;34593;13/02/2016
UNITED AIRLINES;FOREIGN;14528;15567;235569;317892;08/05/2011
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;125;436;0;0;15/10/2015
UNITED PARCEL SERVICES;FOREIGN;0;0;515271;427596;19/03/2015
UZBEKISTAN AIRWAYS;FOREIGN;5566;5132;810282;853959;14/01/2017
VIRGIN ATLANTIC AIRLINES;FOREIGN;5821;7911;245081;363281;15/12/2016
YEMENIA AIRWAYS;FOREIGN;11;270;0;1133;15/01/2017
AIR INDIA;DOMESTIC;193876;225893;3803656;4513044;20/03/2014
AIR INDIA EXPRESS;DOMESTIC;92633;123761;16663;454586;30/08/2016
INDIGO;DOMESTIC;55966;70606;55841;98983847;05/07/2017
JET AIRWAYS;DOMESTIC;259644;294673;36683792;538256693;07/02/2013
SPICEJET;DOMESTIC;39802;48743;0;295256;19/12/2016
AEROFLOT;FOREIGN;5056;6070;3313;130714;09/11/2013
AEROLOGIC;FOREIGN;0;0;1536;1372;16/07/2010
AIR ARABIA;FOREIGN;65482;75272;44483;103994;16/10/2010
AIR ASIA BERHAD;FOREIGN;26759;26841;90837;335979;02/09/2016
AIR ASTANA;FOREIGN;1474;3311;93;47032;29/08/2015
AIR AUSTRAL;FOREIGN;211;169;0;4941;04/12/2010
AIR CHINA;FOREIGN;3534;3412;132719;142914;24/03/2012
AIR FRANCE;FOREIGN;0;0;0;0;22/06/2017
AIR MANAS;FOREIGN;406;1558;4202;6446;21/10/2015
AIR MAURITIUS;FOREIGN;5869;6094;13116;233315;05/07/2012
AIR SEYCHELLES;FOREIGN;1604;1683;187;1654;25/07/2010
ALL NIPPON AIRWAYS;FOREIGN;4440;5067;347061;415897;25/07/2016
ARIANA AFGHAN;FOREIGN;647;1125;625;29761;23/09/2016
ASIANA AIRLINES;FOREIGN;2741;2601;66348;7576;26/03/2010
AUSTRIAN AIRLINES;FOREIGN;4054;5333;144995;214581;26/06/2012
BANGKOK AIRWAYS;FOREIGN;2441;2730;5826;49098;17/01/2017
BHUTAN AIRLINES;FOREIGN;1917;2065;0;0;03/02/2013
BIMAN BANGLADESH;FOREIGN;3055;2954;51;2888;19/12/2012
BRITISH AIRWAYS;FOREIGN;34745;43008;1654;2811;25/08/2015
BUDHHA AIR;FOREIGN;0;0;0;0;22/12/2017
CATHAY PACIFIC;FOREIGN;30593;29452;7223577;3979577;20/10/2013
CHINA AIRLINES LTD;FOREIGN;936;5273;44387;84648;14/04/2011
CHINA EASTERN AIRLINES;FOREIGN;7371;6893;213198;208674;05/01/2016
CHINA SOUTHERN ;FOREIGN;6115;5574;40772;45589;04/06/2011
DRAGON AIR;FOREIGN;6610;7004;394819;272856;31/01/2011
DRUK AIR;FOREIGN;4641;3070;779;8609;23/05/2015
EGYPT AIR;FOREIGN;1226;1437;613;7934;13/05/2016
EL-AL-ISRAEL;FOREIGN;1904;1703;50259;76165;01/03/2010
EMIRATES AIRLINE;FOREIGN;173117;217128;4873894;12772817;26/08/2011
ETHIOPIAN AIRLINES;FOREIGN;3129;3671;331042;249932;20/01/2010
ETIHAD AIRLINES;FOREIGN;82172;101157;1664814;2226983;23/05/2014
EVA AIRWAYS;FOREIGN;0;0;0;0;09/02/2013
FEDERAL EXPRESS;FOREIGN;0;0;1206989;1861968;30/01/2012
FINN AIR;FOREIGN;2316;2542;126803;176058;14/11/2015
FLY DUBAI;FOREIGN;15987;20226;21883;234342;03/03/2016
GULF AIR;FOREIGN;31065;34019;38111;688627;25/12/2012
IRAN AIR;FOREIGN;1657;1433;8864;39867;26/11/2011
IRAQI AIRWAYS;FOREIGN;1062;1060;0;0;30/07/2011
ISLAND AVIATION SERVICES;FOREIGN;3405;3414;11177;523;11/02/2017
JAPAN AIRLINES;FOREIGN;3789;4162;412405;172095;19/03/2016
KALITTA AIR;FOREIGN;0;0;1088286;1074013;05/04/2014
KAM AIR;FOREIGN;2400;1000;0;42774;31/05/2013
KENYA AIRWAYS;FOREIGN;8118;6579;297222;9843;08/04/2011
KLM AIRLINES;FOREIGN;3008;3455;217644;418771;20/08/2013
KOREAN AIR;FOREIGN;1936;1880;60047;66396;07/03/2013
KUWAIT AIRWAYS;FOREIGN;20320;26339;195184;991816;25/03/2013
LUFTHANSA;FOREIGN;34344;39377;3055857;2626845;03/04/2015
MAHAN AIR;FOREIGN;174;1440;10737;75751;25/01/2015
MALAYSIA AIRLINES;FOREIGN;25818;28305;1004338;1058953;10/06/2013
MALINDO AIRWAYS;FOREIGN;21091;18663;11689;88947;11/04/2011
MIHIN LANKA;FOREIGN;6216;7059;64;254;20/02/2015
MYANMAR AIRLINES;FOREIGN;0;0;0;0;15/11/2017
NEPAL AIRLINES CORPORATION;FOREIGN;3287;3514;0;0;31/10/2017
OMAN AIR;FOREIGN;50256;57409;113621;740614;18/12/2012
PAK INTERNATIONAL;FOREIGN;1098;1896;7053;25686;25/04/2010
QATAR AIRWATYS;FOREIGN;69695;79288;3460979;6744728;27/03/2015
REGENT AIRWAYS;FOREIGN;5603;5288;0;0;03/06/2017
SAFI AIRWAYS;FOREIGN;2050;2295;6013;28478;02/12/2012
SAUDIA;FOREIGN;46410;61371;154782;2107348;13/11/2013
SILK AIR;FOREIGN;14226;16867;101413;220877;25/06/2014
SINGAPORE AIRLINES;FOREIGN;39912;39418;3364285;2657042;23/02/2018
SRILNKAN AIRWAYS;FOREIGN;46276;61878;568205;1322365;30/03/2010
SWISS AIR;FOREIGN;10286;12233;770351;822161;11/02/2012
TAJIK AIR;FOREIGN;156;409;329;2352;28/12/2012
THAI AIR ASIA;FOREIGN;5196;5519;34576;22817;07/03/2012
THAI AIRWAYS;FOREIGN;47716;53879;2251082;1524439;16/11/2014
TIGER AIRWAYS;FOREIGN;24719;24711;181515;211735;03/05/2016
TRANSAERO AIRLINES;FOREIGN;2250;2045;129;78144;05/05/2014
TURKISH AIRLINES;FOREIGN;15132;16571;731425;905173;14/07/2013
TURKMENISTAN AIRLINES;FOREIGN;2375;3224;0;24834;13/01/2016
UNITED AIRLINES;FOREIGN;14297;14071;250251;306863;01/03/2016
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;649;946;0;0;23/06/2010
UNITED PARCEL SERVICES;FOREIGN;0;0;565308;418;18/03/2012
UZBEKISTAN AIRWAYS;FOREIGN;3671;4493;1499131;610926;25/05/2014
VIRGIN ATLANTIC AIRLINES;FOREIGN;5095;6551;323777;378353;20/11/2017
YEMENIA AIRWAYS;FOREIGN;10;157;0;161;07/04/2016
AIR INDIA;DOMESTIC;225658;192536;3882074;5004528;03/09/2010
AIR INDIA EXPRESS;DOMESTIC;93844;118009;18394;439953;20/08/2013
INDIGO;DOMESTIC;58635;69880;68487;9285975;14/07/2017
