AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
AIR INDIA;DOMESTIC;221977;234392;3242819;4655509;10/08/2011
AIR INDIA EXPRESS;DOMESTIC;80108;105211;0;0;23/12/2014
INDIGO;DOMESTIC;54409;64570;247;2214;15/10/2010
JET AIRWAYS;DOMESTIC;272392;285407;3647037;5084735;13/06/2014
SPICEJET;DOMESTIC;32841;40944;0;15405;01/02/2016
AEROFLOT;FOREIGN;5277;5529;20536;344774;27/12/2013
AEROLOGIC;FOREIGN;0;0;2043;149;11/11/2013
AIR ARABIA;FOREIGN;63893;72042;135096;1011016;05/11/2016
AIR ASIA BERHAD;FOREIGN;20670;21436;21471;33163;08/04/2015
AIR AUSTRAL;FOREIGN;0;0;0;0;04/03/2011
AIR CHINA;FOREIGN;3137;3644;200453;123311;03/05/2015
AIR FRANCE;FOREIGN;17418;18699;74327;1214447;16/06/2016
AIR MANAS;FOREIGN;220;286;0;3399;05/07/2017
AIR MAURITIUS;FOREIGN;6139;6579;13788;129785;04/09/2011
AIR ASTANA;FOREIGN;1979;2557;603;2764;26/05/2012
AIR SEYCHELLES;FOREIGN;1019;1105;198;803;17/07/2011
ALL NIPPON AIRWAYS;FOREIGN;5063;5524;143038;36861;20/11/2016
ARIANA AFGHAN;FOREIGN;2179;2171;0;5209;03/05/2015
ASIANA AIRLINES;FOREIGN;2977;2996;26445;54336;26/02/2011
AUSTRIAN AIRLINES;FOREIGN;4605;4635;172626;237031;05/05/2011
BANGKOK AIRWAYS;FOREIGN;3383;3562;10188;58342;27/10/2012
BHUTAN AIRLINES;FOREIGN;0;0;0;0;18/08/2011
BIMAN BANGLADESH;FOREIGN;4178;4290;81;10589;11/01/2014
BRITISH AIRWAYS;FOREIGN;35529;41691;123468;189449;13/11/2017
BUDHHA AIR;FOREIGN;261;338;0;0;28/06/2017
CATHAY PACIFIC;FOREIGN;24480;24752;3921941;2879536;18/06/2013
CHINA AIRLINES LTD;FOREIGN;1137;4009;54172;69621;20/12/2010
CHINA EASTERN AIRLINES;FOREIGN;6078;6205;149226;165507;02/09/2011
CHINA SOUTHERN ;FOREIGN;3965;4233;3551;73551;27/09/2013
DELTA AIRLINES;FOREIGN;7781;7589;72842;98752;27/02/2010
DRAGON AIR;FOREIGN;5103;5867;284189;239568;17/06/2016
DRUK AIR;FOREIGN;2262;2413;244;2127;15/03/2017
EGYPT AIR;FOREIGN;734;1045;9135;7933;13/12/2012
EL-AL-ISRAEL;FOREIGN;2909;3408;99025;119099;04/12/2011
EMIRATES AIRLINE;FOREIGN;204252;230457;562828;12452453;25/01/2012
ETHIOPIAN AIRLINES;FOREIGN;8922;9951;894;884738;08/06/2017
ETIHAD AIRLINES;FOREIGN;66070;80517;1004033;1890206;17/07/2011
EVA AIRWAYS;FOREIGN;0;0;0;0;01/02/2013
FEDERAL EXPRESS;FOREIGN;0;0;1019213;2003448;13/07/2014
FINN AIR;FOREIGN;5008;4785;22514;370237;16/08/2013
FLY DUBAI;FOREIGN;12953;16539;14603;232222;12/05/2016
GULF AIR;FOREIGN;28089;34581;164597;555672;03/06/2014
IRAN AIR;FOREIGN;1237;1494;81;46996;22/08/2012
IRAQI AIRWAYS;FOREIGN;0;0;0;0;03/01/2011
ISLAND AVIATION SERVICES;FOREIGN;2703;2569;3027;53392;26/03/2014
JAPAN AIRLINES;FOREIGN;4799;4218;33757;219077;19/12/2016
KALITTA AIR;FOREIGN;0;0;613626;833799;05/12/2010
KAM AIR;FOREIGN;5500;3000;0;184826;14/06/2014
KENYA AIRWAYS;FOREIGN;5601;7265;10106;235809;09/03/2014
KLM AIRLINES;FOREIGN;10659;11322;171298;290945;06/04/2017
KOREAN AIR;FOREIGN;1665;2643;133173;109558;30/08/2015
KUWAIT AIRWAYS;FOREIGN;12180;17325;392262;740987;18/11/2011
LUFTHANSA;FOREIGN;47889;48015;3232537;2961787;11/10/2011
MAHAN AIR;FOREIGN;1428;1266;587;100566;24/04/2012
MALAYSIA AIRLINES;FOREIGN;36761;42540;1144995;1287345;08/07/2013
MALINDO AIRWAYS;FOREIGN;8236;8795;0;0;19/03/2013
MARTIN AIR HOLLAND;FOREIGN;0;0;68466;1301884;11/01/2013
MIHIN LANKA;FOREIGN;4412;4137;0;0;10/09/2014
MYANMAR AIRLINES;FOREIGN;1737;1278;0;0;16/02/2015
NEPAL AIRLINES CORPORATION;FOREIGN;100;44;0;0;26/01/2014
OMAN AIR;FOREIGN;42974;54123;56352;68709;16/02/2016
PAK INTERNATIONAL;FOREIGN;980;2105;10584;35121;04/06/2015
QATAR AIRWATYS;FOREIGN;66911;79820;2826645;5095502;08/07/2014
REGENT AIRWAYS;FOREIGN;3053;3004;0;0;04/03/2014
SAFI AIRWAYS;FOREIGN;1981;1969;1979;14496;15/10/2015
SAUDIA;FOREIGN;49822;58963;506753;2009058;17/06/2014
SILK AIR;FOREIGN;12498;16438;3777;17073;14/10/2016
SINGAPORE AIRLINES;FOREIGN;43862;54289;2197455;2270447;21/12/2010
SOUTHA AFRICAN AIRLINES;FOREIGN;2307;2821;26316;17632;19/03/2014
SRILNKAN AIRWAYS;FOREIGN;44758;48156;736994;146275;22/05/2013
SWISS AIR;FOREIGN;10438;12014;681246;863593;18/02/2017
TAJIK AIR;FOREIGN;174;148;0;1126;06/12/2012
THAI AIRWAYS;FOREIGN;47031;53463;2472163;1998694;14/11/2014
TIGER AIRWAYS;FOREIGN;21409;23974;0;0;17/07/2015
TRANSAERO AIRLINES;FOREIGN;5870;5110;0;13665;02/06/2013
TURKISH AIRLINES;FOREIGN;15457;16198;566855;903912;04/03/2010
TURKMENISTAN AIRLINES;FOREIGN;4966;3237;0;13451;30/11/2015
UNITED AIRLINES;FOREIGN;12956;13716;308136;222283;28/10/2013
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;310;359;0;0;09/02/2010
UNITED PARCEL SERVICES;FOREIGN;0;0;467828;413567;25/12/2017
UZBEKISTAN AIRWAYS;FOREIGN;3263;4046;147435;422548;06/07/2015
VIRGIN ATLANTIC AIRLINES;FOREIGN;6823;6104;182812;314133;28/01/2017
YEMENIA AIRWAYS;FOREIGN;2233;2341;65;531;29/12/2016
AIR INDIA;DOMESTIC;228972;261653;3728757;5275216;31/12/2010
AIR INDIA EXPRESS;DOMESTIC;87774;108891;0;0;12/12/2016
INDIGO;DOMESTIC;59595;70999;1404477;10151205;22/05/2012
JET AIRWAYS;DOMESTIC;288212;308710;3972;6002;15/07/2013
SPICEJET;DOMESTIC;44737;37807;19558;0;12/05/2014
AEROFLOT;FOREIGN;4848;6609;19213;393226;17/04/2011
AEROLOGIC;FOREIGN;0;0;1861;1975;05/05/2015
AIR ARABIA;FOREIGN;69840;77409;163091;1132894;18/06/2016
AIR ASIA BERHAD;FOREIGN;21254;21601;59672;356493;07/06/2011
AIR AUSTRAL;FOREIGN;0;0;0;0;18/07/2013
AIR CHINA;FOREIGN;2727;4728;126373;146235;04/07/2012
AIR FRANCE;FOREIGN;15773;20329;83093;1279976;25/10/2011
AIR MANAS;FOREIGN;389;532;0;127767;01/01/2015
AIR MAURITIUS;FOREIGN;7187;6801;16636;290044;04/10/2011
AIR ASTANA;FOREIGN;1995;2681;5141;31392;10/10/2015
AIR SEYCHELLES;FOREIGN;1102;1285;9;1084;25/03/2013
ALL NIPPON AIRWAYS;FOREIGN;4687;6388;186544;410312;14/07/2015
ARIANA AFGHAN;FOREIGN;1739;2556;0;3;22/03/2012
ASIANA AIRLINES;FOREIGN;2799;3562;18352;89109;29/12/2015
AUSTRIAN AIRLINES;FOREIGN;4019;5560;231298;234212;01/09/2014
BANGKOK AIRWAYS;FOREIGN;3429;3329;509;84204;04/02/2010
BHUTAN AIRLINES;FOREIGN;0;0;0;0;22/06/2010
BIMAN BANGLADESH;FOREIGN;4086;4519;171;47366;14/07/2011
BRITISH AIRWAYS;FOREIGN;37829;51236;1652;3090;25/09/2011
BUDHHA AIR;FOREIGN;116;147;0;0;20/01/2018
CATHAY PACIFIC;FOREIGN;29036;33093;4934824;3775664;25/02/2010
CHINA AIRLINES LTD;FOREIGN;790;5056;70798;75839;30/01/2018
CHINA EASTERN AIRLINES;FOREIGN;6346;8222;178757;255123;09/12/2013
CHINA SOUTHERN ;FOREIGN;4181;6770;31917;57018;19/10/2014
DELTA AIRLINES;FOREIGN;7567;7368;68843;89006;31/03/2015
DRAGON AIR;FOREIGN;6667;7074;268197;304494;28/01/2016
DRUK AIR;FOREIGN;2438;3060;268;3624;08/01/2011
EGYPT AIR;FOREIGN;561;1030;14519;13101;13/10/2015
EL-AL-ISRAEL;FOREIGN;2179;2944;90885;139265;02/09/2016
EMIRATES AIRLINE;FOREIGN;213012;247098;6704896;14133379;05/10/2014
ETHIOPIAN AIRLINES;FOREIGN;9263;10031;125098;1062027;18/11/2013
